"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Whit Merrifield","KCR","29","131","4","19","21","10","8.4%","9.2%",".157",".262",".270",".328",".426",".323",".347","109","2.8","4.2","-0.7","0.8","11281"
"Corey Dickerson","MIA","29","98","1","15","7","1","10.2%","17.3%",".118",".388",".318",".408",".435",".374",".351","140","0.0","5.0","-0.3","0.8","10762"
"Carlos Santana","KCR","29","125","6","17","21","1","14.4%","16.0%",".208",".259",".255",".360",".462",".356",".389","132","0.8","5.5","-2.0","0.8","2396"
"Giancarlo Stanton","NYY","26","113","8","15","22","0","7.1%","25.7%",".276",".368",".314",".363",".590",".404",".385","168","-2.2","6.6","-2.8","0.8","4949"
"Aaron Judge","NYY","27","114","7","12","18","0","14.0%","28.9%",".255",".328",".265",".368",".520",".384",".446","153","-0.3","6.7","-3.1","0.8","15640"
"Franmil Reyes","CLE","26","105","7","15","21","1","6.7%","29.5%",".323",".339",".281",".333",".604",".394",".397","157","-0.7","6.3","-2.3","0.8","14566"
"Yordan Alvarez","HOU","23","97","3","15","15","0","4.1%","25.8%",".216",".403",".318",".361",".534",".377",".357","153","0.6","6.6","-2.4","0.8","19556"
"Marcus Semien","TOR","29","126","6","12","15","6","10.3%","25.4%",".179",".267",".232",".310",".411",".316",".299","104","2.4","2.9","0.3","0.8","12533"
"Ryan McMahon","COL","31","127","8","21","21","1","7.1%","23.6%",".248",".288",".265",".315",".513",".354",".370","109","0.1","1.5","1.8","0.8","15112"
"Ty France","SEA","32","134","3","19","13","0","10.4%","23.1%",".149",".309",".246",".351",".395",".332",".357","122","0.7","4.1","-1.2","0.8","17982"
"Alex Bregman","HOU","24","100","5","16","16","0","7.0%","17.0%",".185",".314",".293",".350",".478",".354",".338","137","-0.8","3.4","0.3","0.7","17678"
"Randal Grichuk","TOR","29","114","5","14","21","0","6.1%","18.4%",".179",".333",".302",".342",".481",".355",".331","131","-1.6","2.5","0.8","0.7","10243"
"Matt Chapman","OAK","32","128","5","14","14","0","13.3%","35.9%",".204",".288",".204",".313",".407",".315",".312","110","0.9","2.4","0.3","0.7","16505"
"Mookie Betts","LAD","25","123","3","16","6","4","11.4%","16.3%",".162",".280",".248",".358",".410",".339",".353","117","1.2","3.9","-0.9","0.7","13611"
"Eduardo Escobar","ARI","29","125","7","19","18","1","8.0%","17.6%",".254",".244",".246",".304",".500",".343",".348","114","0.4","2.6","0.3","0.7","6153"
"Jesus Aguilar","MIA","28","112","6","14","24","0","14.3%","15.2%",".237",".274",".280",".375",".516",".375",".355","140","-0.1","5.6","-2.3","0.7","11342"
"Carlos Correa","HOU","29","124","4","16","14","0","6.5%","16.9%",".167",".289",".263",".315",".430",".323",".364","116","-1.1","1.1","1.4","0.7","14162"
"Michael A. Taylor","KCR","28","99","2","11","8","3","8.1%","26.3%",".088",".365",".275",".333",".363",".310",".347","101","0.2","0.2","3.1","0.7","11489"
"Bo Bichette","TOR","29","127","7","24","17","4","4.7%","27.6%",".229",".299",".254",".299",".483",".335",".325","117","0.6","3.1","-0.8","0.7","19612"
